----------------------------------------------------------------------------------
dim_{Spin} = 2 ,
dim_{Lat} = 2 ,
N = ( 64 x 64 ) ,
T = 0.000000000000e+00 ,
delta_T = 5.000000000000e-02 ,
J = ( 1.000000000000e+00 , 1.000000000000e+00 ) ,
sigma_J = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
<J_{ij}> = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
h = ( 0.000000000000e+00 , 4.000000000000e-02 ) ,
sigma_h = ( 5.000000000000e-01 , 0.000000000000e+00 ) ,
<h_i> = ( -3.261196732474e-03 , 0.000000000000e+00 ) ,
order = ( 0.000000000000e+00 , 1.000000000000e+00 ) ,
order_field = 0 ,
order_random = 0 ,
Thermalizing-MCS = 128000 ,
Averaging-MCS = 12800 ,
hysteresis-MCS/step = 1, 
del_h = range_h x 1.000000000000e-03 ,
delta_{phi} = 1.000000000000e-04 ,
==================================================================================
phi(h[:])	h[0]	h[1]	<m[0]>	<m[1]>	<E>	
----------------------------------------------------------------------------------

Updating all (first)black/(then)white checkerboard sites simultaneously..
----------------------------------------------------------------------------------
3.950000000000e-03	-9.926413663155e-04	3.998768139212e-02	-2.424444936909e-02	9.320748974719e-01	-2.092108212373e+00	
4.000000000000e-03	-1.005203817733e-03	3.998736757133e-02	-2.433719846700e-02	9.320730637345e-01	-2.092108225021e+00	
4.050000000000e-03	-1.017766169942e-03	3.998704980395e-02	-2.442994768730e-02	9.320712199464e-01	-2.092108235154e+00	
4.100000000000e-03	-1.030328421701e-03	3.998672809000e-02	-2.452269702757e-02	9.320693661076e-01	-2.092108242771e+00	
4.150000000000e-03	-1.042890571770e-03	3.998640242952e-02	-2.461544648541e-02	9.320675022182e-01	-2.092108247874e+00	
4.200000000000e-03	-1.055452618911e-03	3.998607282254e-02	-2.470819605840e-02	9.320656282783e-01	-2.092108250461e+00	
4.250000000000e-03	-1.068014561882e-03	3.998573926909e-02	-2.480094574414e-02	9.320637442878e-01	-2.092108250533e+00	
4.300000000000e-03	-1.080576399445e-03	3.998540176921e-02	-2.489369554022e-02	9.320618502467e-01	-2.092108248090e+00	
4.350000000000e-03	-1.093138130359e-03	3.998506032293e-02	-2.498644544423e-02	9.320599461551e-01	-2.092108243132e+00	
4.400000000000e-03	-1.105699753384e-03	3.998471493028e-02	-2.507919545377e-02	9.320580320131e-01	-2.092108235658e+00	
4.450000000000e-03	-1.118261267282e-03	3.998436559129e-02	-2.517194556642e-02	9.320561078205e-01	-2.092108225670e+00	
4.500000000000e-03	-1.130822670811e-03	3.998401230601e-02	-2.526469577978e-02	9.320541735775e-01	-2.092108213166e+00	
4.550000000000e-03	-1.143383962733e-03	3.998365507446e-02	-2.535744609144e-02	9.320522292842e-01	-2.092108198147e+00	
4.600000000000e-03	-1.155945141807e-03	3.998329389669e-02	-2.545019649899e-02	9.320502749404e-01	-2.092108180613e+00	
4.650000000000e-03	-1.168506206794e-03	3.998292877272e-02	-2.554294700002e-02	9.320483105463e-01	-2.092108160563e+00	
4.700000000000e-03	-1.181067156454e-03	3.998255970260e-02	-2.563569759214e-02	9.320463361018e-01	-2.092108137998e+00	
4.750000000000e-03	-1.193627989547e-03	3.998218668636e-02	-2.572844827291e-02	9.320443516070e-01	-2.092108112919e+00	
4.800000000000e-03	-1.206188704834e-03	3.998180972403e-02	-2.582119903995e-02	9.320423570620e-01	-2.092108085324e+00	
4.850000000000e-03	-1.218749301075e-03	3.998142881565e-02	-2.591394989084e-02	9.320403524668e-01	-2.092108055213e+00	
4.900000000000e-03	-1.231309777031e-03	3.998104396127e-02	-2.600670082317e-02	9.320383378213e-01	-2.092108022588e+00	
4.950000000000e-03	-1.243870131460e-03	3.998065516092e-02	-2.609945183453e-02	9.320363131256e-01	-2.092107987447e+00	
5.000000000000e-03	-1.256430363125e-03	3.998026241463e-02	-2.619220292253e-02	9.320342783798e-01	-2.092107949792e+00	
5.050000000000e-03	-1.268990470785e-03	3.997986572245e-02	-2.628495408474e-02	9.320322335839e-01	-2.092107909621e+00	
5.100000000000e-03	-1.281550453201e-03	3.997946508441e-02	-2.637770531877e-02	9.320301787379e-01	-2.092107866935e+00	
5.150000000000e-03	-1.294110309133e-03	3.997906050056e-02	-2.647045662220e-02	9.320281138418e-01	-2.092107821733e+00	
5.200000000000e-03	-1.306670037341e-03	3.997865197094e-02	-2.656320799263e-02	9.320260388958e-01	-2.092107774017e+00	
5.250000000000e-03	-1.319229636586e-03	3.997823949558e-02	-2.665595942764e-02	9.320239538997e-01	-2.092107723785e+00	
5.300000000000e-03	-1.331789105628e-03	3.997782307453e-02	-2.674871092484e-02	9.320218588537e-01	-2.092107671038e+00	
5.350000000000e-03	-1.344348443228e-03	3.997740270782e-02	-2.684146248181e-02	9.320197537578e-01	-2.092107615776e+00	
5.400000000000e-03	-1.356907648146e-03	3.997697839550e-02	-2.693421409614e-02	9.320176386120e-01	-2.092107557999e+00	
5.450000000000e-03	-1.369466719143e-03	3.997655013761e-02	-2.702696576544e-02	9.320155134164e-01	-2.092107497707e+00	
5.500000000000e-03	-1.382025654979e-03	3.997611793420e-02	-2.711971748728e-02	9.320133781709e-01	-2.092107434900e+00	
5.550000000000e-03	-1.394584454414e-03	3.997568178530e-02	-2.721246925926e-02	9.320112328757e-01	-2.092107369577e+00	
5.600000000000e-03	-1.407143116210e-03	3.997524169096e-02	-2.730522107898e-02	9.320090775307e-01	-2.092107301739e+00	
5.650000000000e-03	-1.419701639125e-03	3.997479765122e-02	-2.739797294402e-02	9.320069121361e-01	-2.092107231386e+00	
5.700000000000e-03	-1.432260021922e-03	3.997434966612e-02	-2.749072485198e-02	9.320047366918e-01	-2.092107158518e+00	
5.750000000000e-03	-1.444818263361e-03	3.997389773572e-02	-2.758347680045e-02	9.320025511978e-01	-2.092107083135e+00	
